DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;HOG;P1692;P1692S1;P1692S2;P1692S3;P1692S4;P1692S5;P1692S6;P1692S7;P1692S8;P1692S9;P1692S10;P1692S11;P1692S12;P1692S13;P1692S14;P1692S15;P1693;P1694;P1694S1;P1694S2;P1694S36;P1694S3;P1694S4;P1694S5;P1694S6;P1694S7;P1694S37;P1694S9;P1694S10;P1694S11;P1694S12;P1694S13;P1694S14;P1694S38;P1694S39;P1694S40;P1694S41;P1694S42;P1694S15;P1694S16;P1694S17;P1694S43;P1694S18;P1694S19;P1694S20;P1694S21;P1694S22;P1694S23;P1694S24;P1694S25;P1694S26;P1694S28;P1694S29;P1694S30;P1694S31;P1694S32;P1694S33;P1694S34;P1694S35;P1695;P1696
651280;237;1301;1;1;409.39098256;1;;;;;;;;;;;;;;1301;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651280;237;1403;1;1;409.39098256;1;;;;;;;;;;;;;;;1403;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
651281;237;402;1;1;748.69745815;1;;;;;402;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651285;237;503;1;1;551.87364634;1;;;;;;0503;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651285;237;603;1;1;551.87364634;1;;;;;;;0603;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
651306;237;106;1;1;49.173046772;1;;0106;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651306;237;301;1;1;49.173046772;1;;;;0301;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651376;237;1403;1;1;999.24010776;1;;;;;;;;;;;;;;;1403;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651376;237;608;1;1;999.24010776;1;;;;;;;0608;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651379;237;1005;1;1;669.55718313;1;;;;;;;;;;;1005;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651394;237;205;1;1;464.19010174;1;;;0205;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2
651394;237;1403;1;1;464.19010174;1;;;;;;;;;;;;;;;1403;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651394;237;302;1;1;464.19010174;1;;;;0302;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2
651394;237;606;1;1;464.19010174;1;;;;;;;0606;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
651428;237;1003;1;1;982.48004526;1;;;;;;;;;;;1003;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
651428;237;702;1;1;982.48004526;1;;;;;;;;0702;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
652587;237;1105;1;1;225.55465153;1;;;;;;;;;;;;1105;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652587;237;604;1;1;225.55465153;1;;;;;;;0604;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652587;237;302;1;1;225.55465153;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652587;237;703;1;1;225.55465153;1;;;;;;;;0703;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652587;237;403;1;1;225.55465153;1;;;;;403;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652587;237;204;1;1;225.55465153;1;;;0204;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652587;237;1401;1;1;225.55465153;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652587;237;1001;1;1;225.55465153;1;;;;;;;;;;;1001;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652711;237;1406;2;1;147.29208994;1;;;;;;;;;;;;;;;1406;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652768;237;1401;1;1;93.759895684;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;38;2
652768;237;1501;1;1;93.759895684;1;;;;;;;;;;;;;;;;1501;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
652853;237;205;1;1;165.58984423;1;;;0205;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652871;237;606;1;1;100.43830219;1;;;;;;;0606;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
652871;237;205;1;1;100.43830219;1;;;0205;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
652871;237;1401;1;1;100.43830219;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
652954;237;302;1;1;1197.446624;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
652954;237;701;1;1;1197.446624;1;;;;;;;;0701;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
652954;237;404;1;1;1197.446624;1;;;;;404;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
652954;237;1003;1;1;1197.446624;1;;;;;;;;;;;1003;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
652956;237;607;1;1;513.74529629;1;;;;;;;0607;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
652975;237;1107;1;1;503.21177812;1;;;;;;;;;;;;1107;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
652975;237;1005;1;1;503.21177812;1;;;;;;;;;;;1005;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653006;237;606;1;1;1373.9529085;1;;;;;;;0606;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653006;237;701;1;1;1373.9529085;1;;;;;;;;0701;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4;2
653006;237;1402;1;1;1373.9529085;1;;;;;;;;;;;;;;;1402;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4;2
653017;237;1107;1;1;1537.143857;1;;;;;;;;;;;;1107;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653017;237;1002;1;1;1537.143857;1;;;;;;;;;;;1002;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653017;237;504;1;1;1537.143857;1;;;;;;0504;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653065;237;302;2;1;81.973471919;1;;;;0302;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
653065;237;1003;2;1;81.973471919;1;;;;;;;;;;;1003;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653089;237;1003;1;1;75.025299408;1;;;;;;;;;;;1003;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653089;237;504;1;1;75.025299408;1;;;;;;0504;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653098;237;606;2;1;97.793685005;1;;;;;;;0606;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653098;237;1401;2;1;97.793685005;1;;;;;;;;;;;;;;;1401;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653108;237;301;1;1;133.02353813;1;;;;0301;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653108;237;504;1;1;133.02353813;1;;;;;;0504;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653108;237;1401;1;1;133.02353813;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653109;237;1401;1;1;82.168200951;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653109;237;1007;1;1;82.168200951;1;;;;;;;;;;;1007;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653113;237;1408;1;1;107.31336704;1;;;;;;;;;;;;;;;1408;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653113;237;1401;2;1;107.31336704;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653113;237;1408;3;1;107.31336704;1;;;;;;;;;;;;;;;1408;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653113;237;205;3;1;107.31336704;1;;;0205;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653113;237;1003;1;1;107.31336704;1;;;;;;;;;;;1003;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653119;237;701;2;1;66.791755178;1;;;;;;;;0701;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653119;237;1007;2;1;66.791755178;1;;;;;;;;;;;1007;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653132;237;504;1;1;97.379479023;1;;;;;;0504;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653132;237;1006;1;1;97.379479023;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653133;237;1403;1;1;91.823922646;1;;;;;;;;;;;;;;;1403;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653133;237;102;1;1;91.823922646;1;;0102;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653136;237;1404;2;1;106.65143304;1;;;;;;;;;;;;;;;1404;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2
653157;237;1403;2;1;70.607827588;1;;;;;;;;;;;;;;;1403;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653160;237;406;2;1;87.641531121;1;;;;;406;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653184;237;1003;1;1;83.44767918;1;;;;;;;;;;;1003;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653213;237;1005;1;1;99.904050547;1;;;;;;;;;;;1005;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653221;237;202;1;1;99.891598937;1;;;0202;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653221;237;1402;1;1;99.891598937;1;;;;;;;;;;;;;;;1402;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653403;237;1005;1;1;122.96560447;1;;;;;;;;;;;1005;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653403;237;1002;1;2;122.96560447;1;;;;;;;;;;;1002;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653451;237;1104;2;1;125.49944829;1;;;;;;;;;;;;1104;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653451;237;608;2;1;125.49944829;1;;;;;;;0608;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653451;237;301;2;1;125.49944829;1;;;;0301;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653451;237;701;2;1;125.49944829;1;;;;;;;;0701;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653451;237;201;2;1;125.49944829;1;;;0201;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653451;237;1401;2;1;125.49944829;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653451;237;1006;2;1;125.49944829;1;;;;;;;;;;;1006;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653461;237;102;1;1;123.41606618;1;;0102;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653530;237;302;1;1;581.84557729;1;;;;0302;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653531;237;704;1;1;367.03280451;1;;;;;;;;0704;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653531;237;1401;1;1;367.03280451;1;;;;;;;;;;;;;;;1401;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653531;237;1006;1;1;367.03280451;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653536;237;1403;1;1;399.37753102;1;;;;;;;;;;;;;;;1403;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653536;237;103;1;1;399.37753102;1;;0103;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653605;237;1002;1;1;641.73758242;1;;;;;;;;;;;1002;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2
653606;237;606;1;1;1245.5296905;1;;;;;;;0606;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653606;237;302;1;1;1245.5296905;1;;;;0302;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653606;237;701;1;1;1245.5296905;1;;;;;;;;0701;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653606;237;102;1;1;1245.5296905;1;;0102;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653606;237;1002;1;1;1245.5296905;1;;;;;;;;;;;1002;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653627;237;504;1;1;39.163108884;1;;;;;;0504;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653627;237;1401;1;1;39.163108884;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653684;237;1006;1;1;50.341905508;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653695;237;606;2;1;63.235659111;1;;;;;;;0606;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653695;237;1401;2;1;63.235659111;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653695;237;1004;2;1;63.235659111;1;;;;;;;;;;;1004;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653727;237;606;6;1;900.8102834;1;;;;;;;0606;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653727;237;302;6;1;900.8102834;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653727;237;702;6;1;900.8102834;1;;;;;;;;0702;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653727;237;201;6;1;900.8102834;1;;;0201;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653727;237;1401;2;1;900.8102834;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653727;237;1401;6;1;900.8102834;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2
653728;237;1004;1;1;843.29116472;1;;;;;;;;;;;1004;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653730;237;302;1;1;877.0669974;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653730;237;703;1;1;877.0669974;1;;;;;;;;0703;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653736;237;1006;1;1;490.95892475;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653736;237;302;1;1;490.95892475;1;;;;0302;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653736;237;704;1;1;490.95892475;1;;;;;;;;0704;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653736;237;203;1;1;490.95892475;1;;;0203;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653751;237;205;1;1;807.05171159;1;;;0205;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653751;237;1006;1;1;807.05171159;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653763;237;603;1;1;75.270464849;1;;;;;;;0603;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
653763;237;804;2;1;75.270464849;1;;;;;;;;;0804;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653763;237;701;1;1;75.270464849;1;;;;;;;;0701;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
653763;237;202;2;1;75.270464849;1;;;0202;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653763;237;1401;1;1;75.270464849;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
653763;237;1401;2;1;75.270464849;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
653763;237;1505;2;1;75.270464849;1;;;;;;;;;;;;;;;;1505;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
653792;237;1401;2;1;418.65212323;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653792;237;1408;2;2;418.65212323;1;;;;;;;;;;;;;;;1408;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
653797;237;1403;1;1;403.30647134;1;;;;;;;;;;;;;;;1403;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653804;237;301;1;1;88.138999304;1;;;;0301;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653804;237;704;1;1;88.138999304;1;;;;;;;;0704;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653804;237;1401;1;1;88.138999304;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653804;237;205;1;1;88.138999304;1;;;0205;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653804;237;506;1;1;88.138999304;1;;;;;;0506;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653833;237;1401;1;1;162.0120382;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653833;237;106;1;1;162.0120382;1;;0106;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
653842;237;1401;1;1;64.961274698;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653857;237;103;1;1;90.042535551;1;;0103;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;901;1;1;80.332091711;1;;;;;;;;;;0901;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;302;1;1;80.332091711;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;805;1;1;80.332091711;1;;;;;;;;;0805;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;701;1;1;80.332091711;1;;;;;;;;0701;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;401;1;1;80.332091711;1;;;;;401;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;1401;1;1;80.332091711;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;1402;2;1;80.332091711;1;;;;;;;;;;;;;;;1402;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;1002;1;1;80.332091711;1;;;;;;;;;;;1002;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653881;237;1006;2;1;80.332091711;1;;;;;;;;;;;1006;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653896;237;608;1;1;95.61116927;1;;;;;;;0608;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653942;237;302;1;1;128.08221186;1;;;;0302;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2
653946;237;204;1;1;85.681415547;1;;;0204;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
653962;237;607;1;1;95.63052509;1;;;;;;;0607;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653962;237;1408;1;1;95.63052509;1;;;;;;;;;;;;;;;1408;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
653963;237;606;1;1;107.60142862;1;;;;;;;0606;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
654013;237;1003;1;1;56.284744012;1;;;;;;;;;;;1003;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
654013;237;1401;1;1;56.284744012;1;;;;;;;;;;;;;;;1401;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
654124;237;103;1;1;644.67120785;1;;0103;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1
654227;237;901;1;1;527.56226986;1;;;;;;;;;;0901;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
654227;237;702;1;1;527.56226986;1;;;;;;;;0702;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
654227;237;1401;1;1;527.56226986;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
654601;237;1403;1;1;205.81502427;1;;;;;;;;;;;;;;;1403;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
654658;237;1401;1;1;89.573901195;1;;;;;;;;;;;;;;;1401;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
654700;237;1408;1;1;70.483965902;1;;;;;;;;;;;;;;;1408;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
654700;237;1501;1;1;70.483965902;1;;;;;;;;;;;;;;;;1501;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
