DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;HOG;P3154;P1672;P1673;P1673S1;P1673S2;P1673S36;P1673S3;P1673S4;P1673S5;P1673S6;P1673S7;P1673S37;P1673S9;P1673S10;P1673S11;P1673S12;P1673S13;P1673S14;P1673S38;P1673S39;P1673S40;P1673S41;P1673S42;P1673S15;P1673S16;P1673S17;P1673S43;P1673S18;P1673S19;P1673S20;P1673S21;P1673S22;P1673S23;P1673S24;P1673S25;P1673S26;P1673S28;P1673S29;P1673S30;P1673S31;P1673S32;P1673S33;P1673S34;P1673S35;P1674;P1675;P1676;P1676S2;P1676S3;P1677;P1678;P1679;P1680;P1681;P1682;P1683;P1684;P1685;P1686;P1687;P1688;P1689;P1690
650417;237;1;1;1;117.76350534;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650434;237;1;1;1;95.966653923;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;2;;1;;;
650435;237;1;1;1;82.842888979;1;0403;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;2;;2;1;;
650436;237;1;1;1;82.842888979;1;0402;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;5;2;2;7;2
650438;237;1;1;1;64.813326849;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;4;;
650444;237;1;1;1;87.085737273;1;1002;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;7;3;;;5;;;;;;;;2;;2;1;6;
650444;237;2;1;2;87.085737273;1;1003;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;5;;;;;;;;;;;2;;2;1;6;
650453;237;1;1;1;139.95137031;1;0608;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;7;3;;;5;;;;;;;;2;;1;;4;
650453;237;1;2;1;139.95137031;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;;1;;;
650456;237;1;1;1;168.77384018;1;0102;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;3;1;;7;2
650460;237;1;1;1;156.83927857;1;0107;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;2;;1;;;
650463;237;1;1;1;167.9985478;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;11;;
650463;237;2;1;2;167.9985478;1;1505;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;4;;
650464;237;1;1;1;70.901034251;1;1403;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;7;3;;;5;;;;;;;;1;3;1;;4;
650464;237;2;1;2;70.901034251;1;1407;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;7;2;2;7;;;;;;;;1;1;2;1;;4;
650467;237;1;3;1;168.66048029;1;1410;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;;;;1;1;2;1;;6;
650486;237;1;1;1;113.7351708;1;0606;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;7;5;;;;;;;;;;;2;;1;;5;
650486;237;1;3;1;113.7351708;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;27;7;2;2;8;;;;;;;;1;1;2;1;;5;
650487;237;1;2;1;139.57280738;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;7;3;;;99;;;;;;;;2;;2;1;4;
650489;237;1;1;1;144.16467378;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;1;;
650491;237;1;1;1;100.35748135;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;4;;;;9;;;;;;;2;;2;4;7;2
650491;237;2;1;2;100.35748135;1;1505;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;5;;;;;;;;;;;2;;2;1;7;2
650492;237;1;1;1;85.444112097;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
650499;237;1;2;1;97.154287503;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;5;;;;;;;;;;;2;;1;;7;1
650520;237;1;1;1;1599.1458416;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;1;;;
650530;237;1;1;1;582.44555483;1;1403;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;2;1;1;;;;;;;;1;1;1;1;;7;5
650548;237;1;3;1;187.98038128;1;0205;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;;7;1
650566;237;1;1;1;132.19576125;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;38;4;5;;;;;;;;;;;2;;2;1;7;1
650572;237;1;2;1;33.074350741;1;0606;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;7;5;;;;;;;;;;;2;;1;;7;1
650573;237;1;1;1;33.074350741;1;0606;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
650576;237;1;1;1;84.908107532;1;0704;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;1;;;
650580;237;1;1;1;84.436538523;1;1408;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;1;;
650581;237;1;1;1;118.5933153;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;1;;;
650581;237;1;1;1;118.5933153;2;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650582;237;1;1;1;66.791755178;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;2;;
650591;237;1;1;1;82.825246005;1;1408;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650593;237;1;2;1;66.589816786;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;4;3;;;1;;;;;;;;2;;2;1;7;1
650595;237;1;1;1;486.0841852;2;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;7;3;;;6;;;;;;;;2;;1;;7;1
650599;237;1;1;1;1375.9614946;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
650613;237;1;1;1;454.70497644;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650618;237;1;1;1;1064.2435655;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;7;3;;;99;;;;;;;;2;;1;;7;1
650621;237;1;1;1;1461.4245464;1;0504;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;2;2;;2;1;7;1
650621;237;2;1;2;1461.4245464;1;0504;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;2;1;7;1
650625;237;1;1;1;830.4401871;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650629;237;1;3;1;67.905767607;1;0204;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;1;2;1;;
650631;237;1;2;1;74.168065539;1;0606;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;2;1;8;;;;;;;;1;1;1;1;;7;1
650631;237;2;2;2;74.168065539;1;1403;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;2;2;;2;1;7;1
650633;237;1;1;1;59.254920286;1;0702;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;;1;;;
650635;237;1;1;1;218.27586872;1;1403;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;5;;;;;;;;;;;1;1;1;;7;1
650636;237;1;1;1;151.0902391;1;0205;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;;7;1
650638;237;1;1;1;95.751929212;1;0201;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;2;5;7;;;;;;;;1;1;5;1;;7;1
650638;237;2;1;2;95.751929212;1;0205;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;4;1;;;
650638;237;1;2;1;95.751929212;1;0202;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;5;;;;;;;;;;;1;1;2;4;7;4
650641;237;1;1;1;105.13095803;1;0507;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;1;;
650641;237;2;1;2;105.13095803;1;1401;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;1;;7;1
650643;237;1;1;1;84.329169266;1;0301;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;3;1;;;
650643;237;2;1;2;84.329169266;1;0504;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;3;1;;1;
650645;237;1;1;1;89.902439043;1;1105;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;8;;
650651;237;1;1;1;105.85972115;1;0102;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;1;;
650651;237;1;2;1;105.85972115;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;3;;;99;;;;;;;;2;;1;;7;1
650656;237;1;4;1;44.249888551;1;1403;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;3;;;1;;;;;;;;2;;2;1;7;1
650668;237;1;2;1;1811.4182489;1;1006;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650668;237;1;3;1;1811.4182489;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;1;;;
650682;237;1;2;1;183.29396449;1;0102;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;2;;1;;;
650685;237;1;2;1;126.85565789;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650686;237;1;1;1;165.1088494;1;0301;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;2;1;;
650686;237;2;1;2;165.1088494;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;2;1;;
650686;237;1;2;1;165.1088494;1;1403;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650687;237;1;1;1;145.88443911;1;0205;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;;7;1
650688;237;1;1;1;167.67435031;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650688;237;1;2;1;167.67435031;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;2;1;;
650689;237;1;1;1;167.1355695;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;7;;
650691;237;1;1;1;165.1088494;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;1;;;
650691;237;2;1;2;165.1088494;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;1;7;;;;;;;;1;1;1;1;;7;5
650691;237;1;2;1;165.1088494;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;1;;;
650693;237;1;1;1;160.40636649;1;1011;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;;;5;;;;;;;;2;;2;1;7;1
650694;237;1;2;1;165.99994492;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;1;1;;;
650699;237;1;1;1;82.011807912;1;0502;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;1;2;1;;;
650699;237;2;1;2;82.011807912;1;1403;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;2;1;;7;4
650701;237;1;1;1;94.274878999;1;1006;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;5;1;;;
650701;237;2;1;2;94.274878999;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;2;;
650702;237;1;1;1;75.564365024;1;1505;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
650703;237;1;1;1;118.15912745;1;0201;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;1;1;;;
650703;237;2;1;2;118.15912745;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
650705;237;1;1;1;117.85362477;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650709;237;1;2;1;73.149733737;1;0702;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;;
650709;237;2;2;2;73.149733737;1;1105;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;;
650710;237;1;1;1;139.72862526;1;1403;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650713;237;1;2;1;148.80604617;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650715;237;1;1;1;157.10911242;1;0201;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650715;237;2;1;2;157.10911242;1;1003;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;8;;;;;;;;1;1;1;1;;7;1
650719;237;1;1;1;150.61308708;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
650720;237;1;1;1;94.57954906;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;4;3;;;2;;;;;;;;2;;2;3;7;5
650721;237;1;1;1;88.015728181;1;0102;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;27;7;1;12;6;;;;;;;;1;1;12;1;;2;
650721;237;1;1;1;88.015728181;2;0102;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;1;;;
650721;237;2;1;2;88.015728181;2;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;;
650722;237;1;2;1;99.77582978;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;1;;
650723;237;1;1;1;104.80989039;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;27;1;3;;;99;;;;;;;;2;;1;;7;1
650727;237;1;1;1;106.88778298;1;0302;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;4;1;;7;1
650727;237;2;1;2;106.88778298;1;0303;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;4;1;;7;1
650730;237;1;1;1;131.01236299;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;3;;
650732;237;1;1;1;102.99086479;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;1;;
650734;237;1;2;1;111.14273485;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;1;;
650735;237;1;1;1;115.24281278;1;0606;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;7;5;;;;;;;;;;;1;1;1;;5;
650735;237;2;1;2;115.24281278;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;1;1;;;
650736;237;1;1;1;142.34200611;1;0301;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;12;10;;;;;;;;1;1;12;1;;7;8
650736;237;2;1;2;142.34200611;1;0702;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650738;237;1;2;1;109.78925049;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;1;;
650741;237;1;1;1;99.788592986;1;1105;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;5;;
650741;237;2;1;2;99.788592986;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;5;;
650750;237;1;4;1;112.36654527;1;1303;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650754;237;1;1;1;160.77988782;1;0103;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;2;1;;1;
650755;237;1;2;1;117.11994906;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
650757;237;1;1;1;93.132997994;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;6;1;;;
650760;237;1;2;1;81.063507361;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650761;237;1;1;1;119.14950317;1;0103;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;1;6;1;;7;5
650764;237;1;2;1;118.22443633;1;1408;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650766;237;1;1;1;122.95305938;1;0106;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650768;237;1;1;1;111.39616427;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;3;;;2;;;;;;;;2;;1;;7;1
650771;237;1;1;1;132.93162292;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;1;;
650779;237;1;1;1;123.4681306;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;1;1;1;;;
650779;237;1;4;1;123.4681306;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;1;;;
650779;237;1;5;1;123.4681306;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;1;;;
650781;237;1;2;1;94.85382801;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;1;;;
650787;237;1;2;1;120.35749324;1;1406;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;1;;;
650787;237;1;3;1;120.35749324;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;1;;
650792;237;1;1;1;93.132997994;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
650794;237;1;2;1;106.40199269;1;1402;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650807;237;1;2;1;479.28812386;1;0105;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;;;;;2;;2;7;4;
650807;237;2;2;2;479.28812386;1;0105;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;;2;7;;
650815;237;1;1;1;611.79871894;1;0607;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650815;237;2;1;2;611.79871894;1;1401;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;5;1;;7;1
650822;237;1;3;1;36.126310908;1;0302;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;1;;7;2
650822;237;1;2;1;36.126310908;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;2;1;;
650822;237;2;2;2;36.126310908;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;;
650825;237;1;2;1;61.160184606;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
650825;237;2;2;2;61.160184606;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
650825;237;1;3;1;61.160184606;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650825;237;1;4;1;61.160184606;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650828;237;1;1;1;85.90311497;1;1403;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;2;4;8;;;;;;;;1;1;3;1;;7;3
650828;237;2;1;2;85.90311497;1;1402;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;2;3;8;;;;;;;;1;1;3;1;;7;3
650829;237;1;1;1;71.097309743;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
650832;237;1;1;1;70.297897791;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650838;237;1;2;1;47.426744333;1;1004;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;;
650842;237;1;1;1;85.537452243;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;4;;;;99;;;;;;;2;;2;1;7;1
650843;237;1;1;1;67.105128276;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650843;237;1;2;1;67.105128276;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;2;;1;;;
650846;237;1;1;1;56.780828092;1;1006;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
650848;237;1;1;1;48.390734903;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;1;;
650848;237;1;2;1;48.390734903;1;0501;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;1;;;
