DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;HOG;P3154;P1672;P1673;P1673S1;P1673S2;P1673S36;P1673S3;P1673S4;P1673S5;P1673S6;P1673S7;P1673S37;P1673S9;P1673S10;P1673S11;P1673S12;P1673S13;P1673S14;P1673S38;P1673S39;P1673S40;P1673S41;P1673S42;P1673S15;P1673S16;P1673S17;P1673S43;P1673S18;P1673S19;P1673S20;P1673S21;P1673S22;P1673S23;P1673S24;P1673S25;P1673S26;P1673S28;P1673S29;P1673S30;P1673S31;P1673S32;P1673S33;P1673S34;P1673S35;P1674;P1675;P1676;P1676S2;P1676S3;P1677;P1678;P1679;P1680;P1681;P1682;P1683;P1684;P1685;P1686;P1687;P1688;P1689;P1690
647737;237;1;1;1;717.54186244;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;1;5;2;9;;
647740;237;1;2;1;1209.0189619;1;1403;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647741;237;1;1;1;899.54164754;1;1403;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;1;;;
647742;237;1;1;1;1056.5216052;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
647742;237;1;2;1;1056.5216052;1;0302;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;7;3;;;99;;;;;;;;2;;1;;7;5
647742;237;1;3;1;1056.5216052;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
647742;237;1;4;1;1056.5216052;1;0302;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
647746;237;1;2;1;436.82773326;1;0606;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
647746;237;2;2;2;436.82773326;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;5;;;;;;;;;;;2;;1;;7;1
647748;237;1;1;1;165.16655664;1;0302;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;2;;1;;7;2
647754;237;1;1;1;177.32180256;1;0302;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;;7;1
647755;237;1;3;1;887.81889765;1;0103;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;1;;;
647758;237;1;2;1;533.61838127;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647760;237;1;1;1;691.39044959;1;0504;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;2;;1;;1;
647760;237;2;1;2;691.39044959;1;0507;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;;
