DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C
647886;236;1;1;1;106.96352409
647887;236;1;1;1;95.704099151
647888;236;1;1;1;88.126707412
647889;236;1;1;1;1262.7580699
647890;236;1;1;1;1288.6552432
647892;236;1;1;1;1262.7580699
647893;236;1;1;1;1222.2360679
647894;236;1;1;1;1264.9367471
647895;236;1;1;1;1791.0436317
647896;236;1;1;1;847.40429717
647898;236;1;1;1;1028.2135043
647899;236;1;1;1;972.14770932
647901;236;1;1;1;576.1385354
647902;236;1;1;1;1001.1988363
647903;236;1;1;1;1026.5662916
647904;236;1;1;1;119.26891239
647905;236;1;1;1;69.47247433
647906;236;1;1;1;86.001988406
647907;236;1;1;1;82.630311847
647908;236;1;1;1;67.111800565
647909;236;1;1;1;197.67230828
647910;236;1;1;1;81.774035273
647911;236;1;1;1;69.932734414
647912;236;1;1;1;98.652878005
647913;236;1;1;1;95.902179971
647914;236;1;1;1;127.9699074
647915;236;1;1;1;79.713553951
647916;236;1;1;1;107.10176943
647917;236;1;1;1;71.865746401
647918;236;1;1;1;92.756661028
647919;236;1;1;1;83.676709453
647920;236;1;1;1;87.023494078
647921;236;1;1;1;54.443801398
647922;236;1;1;1;77.117517128
647923;236;1;1;1;60.295501443
647924;236;1;1;1;89.600123507
647925;236;1;1;1;108.3831296
647926;236;1;1;1;63.311850742
647927;236;1;1;1;104.59588682
647928;236;1;1;1;85.681415547
647929;236;1;1;1;88.888848757
647930;236;1;1;1;91.363249363
647931;236;1;1;1;95.933475572
647932;236;1;1;1;95.920617585
647933;236;1;1;1;95.520698075
647934;236;1;1;1;82.115943797
647935;236;1;1;1;63.307607606
647936;236;1;1;1;56.900407398
647937;236;1;1;1;98.475365928
647938;236;1;1;1;88.413597313
647939;236;1;1;1;56.042581214
647940;236;1;1;1;96.160734654
647941;236;1;1;1;76.9956416
647942;236;1;1;1;117.51977345
647943;236;1;1;1;80.847162882
647944;236;1;1;1;86.244485655
647945;236;1;1;1;138.79448183
647946;236;1;1;1;64.322207812
647947;236;1;1;1;80.504715958
647948;236;1;1;1;66.999716199
647949;236;1;1;1;81.394529429
647950;236;1;1;1;56.896635722
647951;236;1;1;1;103.89605699
647952;236;1;1;1;55.804190092
647953;236;1;1;1;56.04635289
647954;236;1;1;1;84.456445285
647955;236;1;1;1;134.47150173
647956;236;1;1;1;89.857545912
647957;236;1;1;1;72.845112082
647958;236;1;1;1;66.275930996
647959;236;1;1;1;83.000261093
647960;236;1;1;1;52.627260937
647961;236;1;1;1;63.307607606
647962;236;1;1;1;63.307607606
647963;236;1;1;1;61.691010389
647964;236;1;1;1;95.521602426
647965;236;1;1;1;67.410701957
647965;236;2;1;2;67.410701957
647966;236;1;1;1;73.399502266
647967;236;1;1;1;43.010133691
647967;236;2;1;2;43.010133691
647968;236;1;1;1;62.863078641
647969;236;1;1;1;56.510887933
647971;236;1;1;1;43.131250802
647972;236;1;1;1;44.778571129
