DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1398S1;P1398S2;P1398S3;P1398S4;P1398S5;P1398S6;P1398S8;P1398S9;P1398S10;P1398S12;P1398S13;P1398S20;P1398S22;P1590S1;P1590S2;P1590S3;P1590S4;P1590S5;P520S1;P520S2;P520S3;P520S4;P520S8;P520S9;P520S5;P520S10;P520S6;P3103
647721;236;1;1;1;451.92763679;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647722;236;1;1;1;574.94809926;1;1;2;2;1;2;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647723;236;1;1;1;1202.8910136;1;1;1;2;2;2;2;1;1;1;;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;4
647724;236;1;1;1;962.24827977;1;1;1;2;2;2;2;1;1;1;;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;4
647725;236;1;1;1;601.2718683;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647726;236;1;1;1;775.70035657;2;1;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;6
647727;236;1;1;1;654.2121073;1;1;2;2;1;2;1;1;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647728;236;1;1;1;795.14079882;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647729;236;1;1;1;682.6931928;2;1;2;2;2;2;2;2;1;2;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;4
647730;236;1;1;1;573.58411;1;2;2;2;2;2;2;2;2;2;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;5
647731;236;1;1;1;997.25704539;1;2;1;1;1;2;1;1;1;1;;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;5
647732;236;1;1;1;654.2121073;1;1;1;1;1;2;1;2;1;2;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;7
647733;236;1;1;1;1307.492992;1;2;2;1;1;1;2;2;1;1;;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1
647735;236;1;1;1;637.31567777;2;2;2;2;2;2;2;2;2;2;;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;4
647736;236;1;1;1;840.97115899;2;1;2;2;2;2;2;2;2;2;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647737;236;1;1;1;717.54186244;1;2;1;2;1;2;2;2;1;1;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647738;236;1;1;1;1036.4921876;1;2;1;2;2;2;2;1;1;1;;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;5
647739;236;1;1;1;798.16395095;1;2;1;2;2;2;1;1;1;1;;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;8
647740;236;1;1;1;1209.0189619;1;2;2;1;1;1;1;1;1;1;;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;3
647741;236;1;1;1;899.54164754;1;1;1;1;1;2;1;2;1;2;;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2
647742;236;1;1;1;1056.5216052;1;1;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1
647743;236;1;1;1;699.31378618;2;2;2;2;2;2;2;2;1;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647744;236;1;1;1;875.77356812;1;1;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1
647745;236;1;1;1;544.45193009;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647746;236;1;1;1;436.82773326;1;2;2;2;2;2;1;1;1;1;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5
647747;236;1;1;1;136.70779931;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647748;236;1;1;1;165.16655664;2;2;2;2;2;2;2;2;1;1;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647749;236;1;1;1;111.76214519;2;2;2;2;2;2;2;2;1;2;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647750;236;1;1;1;143.29338507;2;2;2;2;2;2;2;2;1;1;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647751;236;1;1;1;149.95286528;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647752;236;1;1;1;145.40192668;2;2;2;2;2;2;2;2;1;2;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647753;236;1;1;1;111.76214519;2;2;2;2;2;2;2;2;1;1;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647754;236;1;1;1;177.32180256;2;2;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647755;236;1;1;1;887.81889765;2;2;2;2;2;2;2;2;2;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647756;236;1;1;1;791.50776699;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647756;236;2;1;2;791.50776699;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647756;236;3;1;3;791.50776699;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647757;236;1;1;1;487.61976587;1;1;2;2;2;2;1;2;1;1;;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2
647758;236;1;1;1;533.61838127;2;2;2;2;2;2;1;2;2;1;;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;4
647760;236;1;1;1;691.39044959;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647761;236;1;1;1;668.27100679;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647762;236;1;1;1;583.8241008;1;1;2;1;1;2;1;1;1;1;;1;1;2;1;1;2;2;1;2;1;2;2;2;2;2;2;3
647763;236;1;1;1;474.54271868;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647765;236;1;1;1;528.56385638;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647766;236;1;1;1;1172.1231721;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647767;236;1;1;1;420.56420482;2;2;2;2;2;2;1;2;2;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647768;236;1;1;1;637.6072752;1;2;2;2;2;2;2;2;1;1;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647769;236;1;1;1;447.19780632;2;2;2;2;2;2;2;2;2;2;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647770;236;1;1;1;725.74035941;2;2;2;2;2;2;2;2;1;1;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647771;236;1;1;1;550.58107349;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647773;236;1;1;1;980.42582208;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647775;236;1;1;1;71.098645671;1;2;1;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;5
647776;236;1;1;1;92.766326636;1;1;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647777;236;1;1;1;89.936091438;1;1;1;1;1;1;1;1;1;1;;2;2;1;1;1;2;2;1;1;2;2;2;2;2;1;2;4
647778;236;1;1;1;71.11186447;1;2;2;2;2;2;1;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647779;236;1;1;1;75.868636044;1;2;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5
647780;236;1;1;1;70.272466924;1;1;1;1;2;2;2;2;1;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
647782;236;1;1;1;104.62935991;1;2;2;2;2;2;2;2;2;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;9
647783;236;1;1;1;120.43283288;1;1;2;2;2;1;2;1;2;2;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647784;236;1;1;1;95.090464541;1;2;2;1;2;2;1;2;1;1;;1;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;8
647785;236;1;1;1;89.225097405;1;2;2;2;2;2;2;2;1;1;;2;2;2;1;2;2;2;1;1;2;2;2;2;2;1;2;9
647787;236;1;1;1;108.9626969;1;1;2;2;1;2;1;1;1;1;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;4
647788;236;1;1;1;91.298001057;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647789;236;1;1;1;82.050272801;1;1;2;1;2;2;1;1;1;1;;2;2;1;1;2;2;2;2;2;2;2;2;1;2;2;2;4
647790;236;1;1;1;81.04232729;1;1;2;2;2;2;2;1;1;2;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
647791;236;1;1;1;71.845078567;2;1;2;2;2;2;1;1;1;1;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
647792;236;1;1;1;63.774767432;2;2;2;2;2;2;2;2;2;2;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647794;236;1;1;1;63.609788932;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647796;236;1;1;1;1321.2299779;1;2;1;2;2;2;1;2;1;2;;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;6
647797;236;1;1;1;1492.3913535;1;2;2;2;2;2;2;2;1;2;;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;5
647798;236;1;1;1;1793.3259594;1;1;2;2;1;2;1;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647799;236;1;1;1;958.30451388;1;2;2;2;2;2;2;2;1;2;;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1
647800;236;1;1;1;1011.2569287;1;2;2;2;2;2;2;2;2;2;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647802;236;1;1;1;767.31464773;1;1;2;2;2;2;2;2;1;2;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
